external_key,legacy_ids,content_type,canonical_title,languages,category_links,title,page_count,duration_minutes,age_range,author,dubbing,illustrator,resolution_status,target_folder
legacy-content-story-stubborn-hiccups,82,STORY,Stubborn Hiccups,en|pt|tr,en:Audio Books 🎧|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Problem Solving Skills 🎯|en:Sharing and Cooperation 🤝|en:Stories with Animations|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Stubborn Hiccups,21,6,5,Zeynep Çokran,Mariah Kerr,Cansu Küçükal,MATCHED,STORY-story-stubborn-hiccups-stubborn-hiccups
legacy-content-story-kocaman-bir-sar-lma,83,STORY,Kocaman Bir Sarılma,tr,tr:Aile ve Arkadaşlık 🤗|tr:Duygusal Farkındalık ✨,Kocaman Bir Sarılma,16,2,6,Özgün TellPal Kütüphanesi,Zekiye Türker,Dilan Balcı,MATCHED,STORY-story-kocaman-bir-sar-lma-kocaman-bir-sar-lma
legacy-content-story-a-big-hug,84,STORY,A Big Hug,en|pt|tr,en:Emotional Awareness ✨|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,A Big Hug,16,3,6,TellPal Library,Madeleine Steinbock,Dilan Balcı,MATCHED,STORY-story-a-big-hug-a-big-hug
legacy-content-story-havuc-burun-nerede,85,STORY,Havuç Burun Nerede?,tr,tr:Etkinlik ve Eğlence 🥳|tr:Paylaşma ve İş Birliği 🤝|tr:Sesli Kitaplar 🎧,Havuç Burun Nerede?,22,5,7,Özgün TellPal Kütüphanesi,Eren Coşan,Şevval Şahin,MATCHED,STORY-story-havuc-burun-nerede-havuc-burun-nerede
legacy-content-story-where-is-the-carrot,86,STORY,Where Is The Carrot,en|pt|tr,en:Audio Books 🎧|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Sharing and Cooperation 🤝|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Where Is The Carrot,20,5,7,TellPal Library,Madeleine Steinbock,Şevval Şahin,MATCHED,STORY-story-where-is-the-carrot-where-is-the-carrot
legacy-content-lullaby-sonsuz-rapsodi,87,LULLABY,Sonsuz Rapsodi,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Sonsuz Rapsodi,1,1,1,Eren Coşan,Piyano,,MATCHED,LULLABY-lullaby-sonsuz-rapsodi-sonsuz-rapsodi
legacy-content-story-dedektif-lily,88,STORY,Dedektif Lily,tr,tr:Animasyonlu Hikayeler|tr:Empati ve Hoşgörü 💞|tr:Etkinlik ve Eğlence 🥳|tr:Sesli Kitaplar 🎧|tr:Sevimli Dostlarımız🐕🐅🐎🐼,Dedektif Lily,20,5,6,Zeynep Çokran,Büşra Lüleci Oldaç,Cansu Küçükal,MATCHED,STORY-story-dedektif-lily-dedektif-lily
legacy-content-story-detective-lilly,89,STORY,Detective Lilly,en|pt|tr,en:Activities and Fun 🥳|en:Audio Books 🎧|en:Empathy and Tolerance 💞|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Sleeping Stories 😴🌙🛏️|en:Stories with Animations|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Detective Lilly,20,5,6,Zeynep Çokran,Erica Hazelton,Cansu Küçükal,MATCHED,STORY-story-detective-lilly-detective-lilly
legacy-content-lullaby-endless-rhapsody,90,LULLABY,Endless Rhapsody,en,en:Lullaby and Relaxing Music 😴,Endless Rhapsody,1,1,1,Eren Coşan,Piano,,MATCHED,LULLABY-lullaby-endless-rhapsody-endless-rhapsody
legacy-content-story-melody-and-four-seasons,91,STORY,Melody and Four Seasons,en|pt|tr,en:Activities and Fun 🥳|en:Informative Stories 🔮|en:Serial Stories 🎬|en:Stories with Animations|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Melody and Four Seasons,12,4,3,TellPal Library,Mariah Kerr,Cansu Küçükal,MATCHED,STORY-story-melody-and-four-seasons-melody-and-four-seasons
legacy-content-story-deniz-feneri-ve-kay-p-gemi,92,STORY,Deniz Feneri ve Kayıp Gemi,tr,tr:Duygusal Farkındalık ✨|tr:Sesli Kitaplar 🎧|tr:Uyku Öncesi Hikayeleri 😴🌙🛏️|tr:Öğretici Hikayeler 🔮,Deniz Feneri ve Kayıp Gemi,15,3,4,Özgün TellPal Kütüphanesi,Mücahit Akif Köz,Şevval Şahin,MATCHED,STORY-story-deniz-feneri-ve-kay-p-gemi-deniz-feneri-ve-kay-p-gemi
legacy-content-story-the-lighthouse-and-the-lost-ship,93,STORY,The Lighthouse and The Lost Ship,en|pt|tr,en:Audio Books 🎧|en:Informative Stories 🔮|en:Mothers' Favorites ❤️|en:Sleeping Stories 😴🌙🛏️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,The Lighthouse and The Lost Ship,15,3,4,TellPal Library,Austin Vanfleet,Şevval Şahin,MATCHED,STORY-story-the-lighthouse-and-the-lost-ship-the-lighthouse-and-the-lost-ship
legacy-content-story-nota-ve-haftan-n-gunleri,94,STORY,Nota ve Haftanın Günleri,tr,tr:Seri Hikayeler 🧭|tr:Sesli Kitaplar 🎧|tr:Öğretici Hikayeler 🔮|tr:Şarkılarla Hikayeler 🎶,Nota ve Haftanın Günleri,13,4,3,Nida Nur Küçük,Pelin Aygün,Cansu Küçükal,MATCHED,STORY-story-nota-ve-haftan-n-gunleri-nota-ve-haftan-n-gunleri
legacy-content-story-melody-days-of-the-week,95,STORY,Melody - Days of the Week,en|pt|tr,en:Audio Books 🎧|en:Informative Stories 🔮|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Serial Stories 🎬|en:Stories with Animations|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Melody - Days of the Week,13,4,3,TellPal Library,Mariah Kerr,Cansu Küçükal,MATCHED,STORY-story-melody-days-of-the-week-melody-days-of-the-week
legacy-content-story-elbise-y-ld-z,96,STORY,Elbise Yıldızı,tr,tr:Aile ve Arkadaşlık 🤗|tr:Duygusal Farkındalık ✨|tr:Paylaşma ve İş Birliği 🤝|tr:Sesli Kitaplar 🎧|tr:Sizin İçin Önerdiklerimiz|tr:Çocukların Favorileri 🙌,Elbise Yıldızı,14,3,4,Zeynep Çokran,Pelin Aygün,Dilan Balcı,MATCHED,STORY-story-elbise-y-ld-z-elbise-y-ld-z
legacy-content-story-dress-stars,97,STORY,Dress Stars,en|pt|tr,en:Audio Books 🎧|en:Emotional Awareness ✨|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Sharing and Cooperation 🤝|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Dress Stars,14,3,4,Zeynep Çokran,Mariah Kerr,Dilan Balcı,MATCHED,STORY-story-dress-stars-dress-stars
legacy-content-story-sesli-hikaye,99,STORY,Sesli Hikaye,und,,Sesli Hikaye,5,3,5,test,test,Dilan Balcı,LIKELY,STORY-story-sesli-hikaye-sesli-hikaye
legacy-content-story-gunun-sorusu,100,STORY,Günün Sorusu,tr,tr:Aile ve Arkadaşlık 🤗|tr:Problem Çözme Becerisi 🎯|tr:Sesli Kitaplar 🎧|tr:Çocukların Favorileri 🙌,Günün Sorusu,18,5,4,Özgün TellPal Kütüphanesi,Serkan Korkmaz,Şevval Şahin,MATCHED,STORY-story-gunun-sorusu-gunun-sorusu
legacy-content-story-question-of-the-day,101,STORY,Question of the Day,en|pt|tr,en:Audio Books 🎧|en:Editors' Pick 🙌|en:Family and Friendship 🤗|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Problem Solving Skills 🎯|en:Sleeping Stories 😴🌙🛏️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Question of the Day,18,6,4,TellPal Library,Lauren Boland,Şevval Şahin,MATCHED,STORY-story-question-of-the-day-question-of-the-day
legacy-content-story-fancy-nin-coraplar,102,STORY,Fancy'nin Çorapları,tr,tr:Etkinlik ve Eğlence 🥳|tr:Paylaşma ve İş Birliği 🤝|tr:Problem Çözme Becerisi 🎯|tr:Sesli Kitaplar 🎧|tr:Sizin İçin Önerdiklerimiz|tr:Çocukların Favorileri 🙌,Fancy'nin Çorapları,18,4,4,Özgün TellPal Kütüphanesi,Pelin Aygün,Cansu Küçükal,MATCHED,STORY-story-fancy-nin-coraplar-fancy-nin-coraplar
legacy-content-story-fancy-s-socks,103,STORY,Fancy's Socks,en|pt|tr,en:Audio Books 🎧|en:Mothers' Favorites ❤️|en:Problem Solving Skills 🎯|en:Sharing and Cooperation 🤝|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Fancy's Socks,18,4,4,TellPal Library,Mariah Kerr,Cansu Küçükal,MATCHED,STORY-story-fancy-s-socks-fancy-s-socks
legacy-content-story-dedemin-her-seyci-dukkan,104,STORY,Dedemin Her Şeyci Dükkanı,tr,tr:Aile ve Arkadaşlık 🤗|tr:Sesli Kitaplar 🎧|tr:Sizin İçin Önerdiklerimiz,Dedemin Her Şeyci Dükkanı,13,4,4,Emine Metin,Ebru Tinçer,Şevval Şahin,MATCHED,STORY-story-dedemin-her-seyci-dukkan-dedemin-her-seyci-dukkan
legacy-content-story-the-everything-store,105,STORY,The Everything Store,en|pt|tr,en:Audio Books 🎧|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,The Everything Store,13,4,5,Emine Metin,Austin Vanfleet,Şevval Şahin,MATCHED,STORY-story-the-everything-store-the-everything-store
legacy-content-story-polly-the-little-fish-where-is-the-sea,106,STORY,Polly the Little Fish - Where is the Sea,en|pt|tr,en:Audio Books 🎧|en:Mothers' Favorites ❤️|en:Problem Solving Skills 🎯|en:Sleeping Stories 😴🌙🛏️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Polly the Little Fish - Where is the Sea,20,5,3,Elif Çiçek,Mariah Kerr,Cansu Küçükal,MATCHED,STORY-story-polly-the-little-fish-where-is-the-sea-polly-the-little-fish-where-is-the-sea
legacy-content-story-kucuk-bal-k-poli-deniz-nerede,107,STORY,Küçük Balık Poli - Deniz Nerede,tr,tr:Problem Çözme Becerisi 🎯|tr:Sesli Kitaplar 🎧|tr:Sizin İçin Önerdiklerimiz|tr:Çocukların Favorileri 🙌,Küçük Balık Poli - Deniz Nerede,20,5,3,Elif Çiçek,Büşra Lüleci Oldaç,Cansu Küçükal,MATCHED,STORY-story-kucuk-bal-k-poli-deniz-nerede-kucuk-bal-k-poli-deniz-nerede
legacy-content-meditation-a-mindful-sleep-story-meditation,108,MEDITATION,A Mindful Sleep Story Meditation,en,en:Meditation 🧘🍃,A Mindful Sleep Story Meditation,1,8,3,Athena Amhurst,Jenica Domanico,,MATCHED,MEDITATION-meditation-a-mindful-sleep-story-meditation-a-mindful-sleep-story-meditation
legacy-content-story-toprak-solucan-ciftlikte-ilk-gun,109,STORY,Toprak Solucanı - Çiftlikte İlk Gün,tr,tr:Seri Hikayeler 🧭|tr:Toprak Solucanı Serisi 🐛|tr:Çocukların Favorileri 🙌,Toprak Solucanı - Çiftlikte İlk Gün,20,4,4,Zeynep Çokran,Eren Coşan,Dilan Balcı,MATCHED,STORY-story-toprak-solucan-ciftlikte-ilk-gun-toprak-solucan-ciftlikte-ilk-gun
legacy-content-story-earthworm-2-first-day-on-the-farm,110,STORY,Earthworm 2 - First Day On The Farm,en|pt|tr,en:Audio Books 🎧|en:Earthworm Series 🐛|en:Mothers' Favorites ❤️|en:Serial Stories 🎬|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Earthworm 2 - First Day On The Farm,20,4,4,Zeynep Çokran,Jenica Domanico,Dilan Balcı,MATCHED,STORY-story-earthworm-2-first-day-on-the-farm-earthworm-2-first-day-on-the-farm
legacy-content-story-koca-dag-n-zirvesi,111,STORY,Koca Dağın Zirvesi,tr,tr:Sesli Kitaplar 🎧|tr:Öz Güven ve Cesaret 💪|tr:Öğretici Hikayeler 🔮,Koca Dağın Zirvesi,14,5,5,Özgün TellPal Kütüphanesi,Mücahit Akif Köz,Cansu Küçükal,MATCHED,STORY-story-koca-dag-n-zirvesi-koca-dag-n-zirvesi
legacy-content-story-the-top-of-big-mountain,112,STORY,The Top of Big Mountain,en|pt|tr,en:Audio Books 🎧|en:Confidence and Courage 💪|en:Informative Stories 🔮|en:Mothers' Favorites ❤️|en:Sleeping Stories 😴🌙🛏️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,The Top of Big Mountain,14,5,5,TellPal Library,Aj Carter,Cansu Küçükal,MATCHED,STORY-story-the-top-of-big-mountain-the-top-of-big-mountain
legacy-content-story-peri-lin-in-maceralar,113,STORY,Peri Lin'in Maceraları,tr,tr:Paylaşma ve İş Birliği 🤝|tr:Sesli Kitaplar 🎧|tr:Uyku Öncesi Hikayeleri 😴🌙🛏️,Peri Lin'in Maceraları,18,5,4,Nil Akdoğan,Büşra Lüleci Oldaç,Şevval Şahin,MATCHED,STORY-story-peri-lin-in-maceralar-peri-lin-in-maceralar
legacy-content-story-the-adventures-of-fairy-lin,114,STORY,The Adventures of Fairy Lin,en|pt|tr,en:Audio Books 🎧|en:Mothers' Favorites ❤️|en:Sharing and Cooperation 🤝|en:Sleeping Stories 😴🌙🛏️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,The Adventures of Fairy Lin,18,5,4,Nil Akdoğan,Mariah Kerr,Şevval Şahin,MATCHED,STORY-story-the-adventures-of-fairy-lin-the-adventures-of-fairy-lin
legacy-content-meditation-rise-and-shine-meditation,124,MEDITATION,Rise and Shine Meditation,en,en:Meditation 🧘🍃,Rise and Shine Meditation,1,5,3,Athena Amhurst,Austin Vanflet,,MATCHED,MEDITATION-meditation-rise-and-shine-meditation-rise-and-shine-meditation
legacy-content-meditation-magical-meadow-meditation,125,MEDITATION,Magical Meadow Meditation,en,en:Meditation 🧘🍃,Magical Meadow Meditation,1,10,3,Athena Amhurst,Austin Vanflet,,MATCHED,MEDITATION-meditation-magical-meadow-meditation-magical-meadow-meditation
legacy-content-meditation-i-see-a-rainbow-meditation,126,MEDITATION,I See a Rainbow Meditation,en,en:Meditation 🧘🍃,I See a Rainbow Meditation,1,5,3,Athena Amhurst,Jenica Domanico,,MATCHED,MEDITATION-meditation-i-see-a-rainbow-meditation-i-see-a-rainbow-meditation
legacy-content-meditation-best-friend-meditation,127,MEDITATION,Best Friend Meditation,en,en:Meditation 🧘🍃,Best Friend Meditation,1,7,3,Athena Amhurst,Austin Vanflet,,MATCHED,MEDITATION-meditation-best-friend-meditation-best-friend-meditation
legacy-content-story-lavantamdaki-salyangoz,128,STORY,Lavantamdaki Salyangoz,tr,tr:Aile ve Arkadaşlık 🤗|tr:Empati ve Hoşgörü 💞|tr:Sesli Kitaplar 🎧,Lavantamdaki Salyangoz,18,6,4,Nil Akdoğan,Ebru Tinçer,Şevval Şahin,MATCHED,STORY-story-lavantamdaki-salyangoz-lavantamdaki-salyangoz
legacy-content-story-snail-in-my-lavender,130,STORY,Snail in My Lavender,en|pt|tr,en:Audio Books 🎧|en:Empathy and Tolerance 💞|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Snail in My Lavender,18,5,4,Nil Akdoğan,Jenica Domanico,Şevval Şahin,MATCHED,STORY-story-snail-in-my-lavender-snail-in-my-lavender
legacy-content-story-flarenko,131|133|303|506,STORY,Flarenko,de|en|pt|tr,de:Familie & Freundschaft 🤗|de:Kinderfavoriten 🙌|de:Natur & Entdeckung 💚🏕️🌿🌲🌳☘️|en:Audio Books 🎧|en:Empathy and Tolerance 💞|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|pt:Audiolivros 🎧|pt:Descubra a Biblioteca 🕵🏻‍♂️|pt:Empatia e Tolerância 💞|pt:Família e Amizade 🤗|pt:Histórias em Inglês 🇬🇧|pt:Mais Populares ❤️|pt:Nossa Natureza e Vida|tr:Aile ve Arkadaşlık 🤗|tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Empati ve Hoşgörü 💞|tr:Sesli Kitaplar 🎧|tr:Çocukların Favorileri 🙌|tr:İngilizce Hikayeler 🌎,Flarenko,24,5,4,Zeynep Çokran,Eren Coşan,Cansu Küçükal,MATCHED,STORY-story-flarenko-flarenko
legacy-content-story-flarenko,131|133|303|506,STORY,Flarenko,de|en|pt|tr,de:Familie & Freundschaft 🤗|de:Kinderfavoriten 🙌|de:Natur & Entdeckung 💚🏕️🌿🌲🌳☘️|en:Audio Books 🎧|en:Empathy and Tolerance 💞|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|pt:Audiolivros 🎧|pt:Descubra a Biblioteca 🕵🏻‍♂️|pt:Empatia e Tolerância 💞|pt:Família e Amizade 🤗|pt:Histórias em Inglês 🇬🇧|pt:Mais Populares ❤️|pt:Nossa Natureza e Vida|tr:Aile ve Arkadaşlık 🤗|tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Empati ve Hoşgörü 💞|tr:Sesli Kitaplar 🎧|tr:Çocukların Favorileri 🙌|tr:İngilizce Hikayeler 🌎,Flarenko,24,5,4,Zeynep Çokran,Jenica Domanico,Cansu Küçükal,MATCHED,STORY-story-flarenko-flarenko
legacy-content-story-bulmaca,134,STORY,Bulmaca,tr,tr:Aile ve Arkadaşlık 🤗|tr:Problem Çözme Becerisi 🎯|tr:Sesli Kitaplar 🎧|tr:Çocukların Favorileri 🙌,Bulmaca,20,5,4,Zeynep Çokran,Eren Coşan,Cansu Küçükal,MATCHED,STORY-story-bulmaca-bulmaca
legacy-content-story-my-crossword-puzzle,140,STORY,My Crossword Puzzle,en|pt|tr,en:Audio Books 🎧|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|en:Problem Solving Skills 🎯|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,My Crossword Puzzle,20,5,4,Zeynep Çokran,Jenica Domanico,Cansu Küçükal,MATCHED,STORY-story-my-crossword-puzzle-my-crossword-puzzle
legacy-content-story-k-s-corbas-festivali,141,STORY,Kış Çorbası Festivali,tr,tr:Paylaşma ve İş Birliği 🤝|tr:Sesli Kitaplar 🎧|tr:Öz Güven ve Cesaret 💪,Kış Çorbası Festivali,13,4,4,Tuğçe Kaman Aslan,Ebru Tinçer,Şevval Şahin,MATCHED,STORY-story-k-s-corbas-festivali-k-s-corbas-festivali
legacy-content-meditation-gune-pozitif-baslang-c,142,MEDITATION,Güne Pozitif Başlangıç,tr,tr:Meditasyon  🧘🍃,Güne Pozitif Başlangıç,1,4,3,Athena Amhurst,Pelin Aygün,,MATCHED,MEDITATION-meditation-gune-pozitif-baslang-c-gune-pozitif-baslang-c
legacy-content-meditation-bilincli-uyku-meditasyonu,143,MEDITATION,Bilinçli Uyku Meditasyonu,tr,tr:Meditasyon  🧘🍃,Bilinçli Uyku Meditasyonu,1,6,3,Athena Amhurst,Pelin Aygün,,MATCHED,MEDITATION-meditation-bilincli-uyku-meditasyonu-bilincli-uyku-meditasyonu
legacy-content-lullaby-dandini-dastana,144,LULLABY,Dandini Dastana,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Dandini Dastana,1,1,1,Ali Kaan Uysal,Piyano - Glockenspiel,,MATCHED,LULLABY-lullaby-dandini-dastana-dandini-dastana
legacy-content-lullaby-masal-n-icinde,145,LULLABY,Masalın İçinde,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Masalın İçinde,1,1,1,Ali Kaan Uysal,Rhodes - Glockenspiel,,MATCHED,LULLABY-lullaby-masal-n-icinde-masal-n-icinde
legacy-content-lullaby-ay-s-g-ruyas,146,LULLABY,Ayışığı Rüyası,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Ayışığı Rüyası,1,1,1,Ali Kaan Uysal,Çelesta,,MATCHED,LULLABY-lullaby-ay-s-g-ruyas-ay-s-g-ruyas
legacy-content-lullaby-huzurun-sesi,147,LULLABY,Huzurun Sesi,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Huzurun Sesi,1,1,1,Ali Kaan Uysal,Bell - Keman,,MATCHED,LULLABY-lullaby-huzurun-sesi-huzurun-sesi
legacy-content-story-winter-soup-festival,152,STORY,Winter Soup Festival,en|pt|tr,en:Audio Books 🎧|en:Confidence and Courage 💪|en:Family and Friendship 🤗|en:Informative Stories 🔮|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Sharing and Cooperation 🤝|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Winter Soup Festival,13,4,4,Tuğçe Kaman Aslan,Ben S.,Şevval Şahin,MATCHED,STORY-story-winter-soup-festival-winter-soup-festival
legacy-content-story-kucuk-mutluluklar,153,STORY,Küçük Mutluluklar,tr,tr:Aile ve Arkadaşlık 🤗|tr:Etkinlik ve Eğlence 🥳|tr:Sesli Kitaplar 🎧,Küçük Mutluluklar,11,3,3,Elif Çiçek,Pelin Aygün,Meltem Balım,MATCHED,STORY-story-kucuk-mutluluklar-kucuk-mutluluklar
legacy-content-story-little-joys,154,STORY,Little Joys,en|pt|tr,en:Activities and Fun 🥳|en:Audio Books 🎧|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Little Joys,11,3,3,Elif Çiçek,Jenica Domanico,Meltem Balım,MATCHED,STORY-story-little-joys-little-joys
legacy-content-lullaby-minik-ad-mlar-ruya-gemisinde,155,LULLABY,Minik Adımlar Rüya Gemisinde,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Minik Adımlar Rüya Gemisinde,1,1,1,Ali Kaan Uysal,Arp,,MATCHED,LULLABY-lullaby-minik-ad-mlar-ruya-gemisinde-minik-ad-mlar-ruya-gemisinde
legacy-content-lullaby-traditional-lullaby,156,LULLABY,Traditional Lullaby,en,en:Lullaby and Relaxing Music 😴,Traditional Lullaby,1,1,1,Ali Kaan Uysal,Piano - Glockenspiel,,MATCHED,LULLABY-lullaby-traditional-lullaby-traditional-lullaby
legacy-content-lullaby-inside-the-fairy-tale,157,LULLABY,Inside the Fairy Tale,en,en:Lullaby and Relaxing Music 😴,Inside the Fairy Tale,1,1,1,Ali Kaan Uysal,Rhodes - Glockenspiel,,MATCHED,LULLABY-lullaby-inside-the-fairy-tale-inside-the-fairy-tale
legacy-content-lullaby-moonlight-dreaming,158,LULLABY,Moonlight Dreaming,en,en:Lullaby and Relaxing Music 😴,Moonlight Dreaming,1,1,1,Ali Kaan Uysal,Chelesta,,MATCHED,LULLABY-lullaby-moonlight-dreaming-moonlight-dreaming
legacy-content-lullaby-the-sound-of-peace,159,LULLABY,The Sound of Peace,en,en:Lullaby and Relaxing Music 😴,The Sound of Peace,1,1,1,Ali Kaan Uysal,Bell - Violin,,MATCHED,LULLABY-lullaby-the-sound-of-peace-the-sound-of-peace
legacy-content-lullaby-tiny-steps-on-dream-ship,160,LULLABY,Tiny Steps on Dream Ship,en,en:Lullaby and Relaxing Music 😴,Tiny Steps on Dream Ship,1,1,1,Ali Kaan Uysal,Harp,,MATCHED,LULLABY-lullaby-tiny-steps-on-dream-ship-tiny-steps-on-dream-ship
legacy-content-story-sapkal-bir-gezinti,161,STORY,Şapkalı Bir Gezinti,tr,tr:Aile ve Arkadaşlık 🤗|tr:Ebeveynlerin Favorileri ❤️|tr:Hayal Gücü ve Yaratıcılık 💫|tr:Sesli Kitaplar 🎧|tr:Uyku Öncesi Hikayeleri 😴🌙🛏️|tr:Çocukların Favorileri 🙌,Şapkalı Bir Gezinti,18,5,3,Zeynep Çokran,Ebru Tinçer - Baran Tinçer,Cansu Küçükal,MATCHED,STORY-story-sapkal-bir-gezinti-sapkal-bir-gezinti
legacy-content-story-karanl-k-asl-nda-eglencelidir,162,STORY,Karanlık Aslında Eğlencelidir,tr,tr:Aile ve Arkadaşlık 🤗|tr:Sesli Kitaplar 🎧|tr:Çocukların Favorileri 🙌|tr:Öz Güven ve Cesaret 💪,Karanlık Aslında Eğlencelidir,14,3,3,Nida Nur Küçük,Pelin Aygün,Türkü Deniz Malkoç,MATCHED,STORY-story-karanl-k-asl-nda-eglencelidir-karanl-k-asl-nda-eglencelidir
legacy-content-story-darkness-is-actually-fun,163,STORY,Darkness Is Actually Fun,en|pt|tr,en:Audio Books 🎧|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Darkness Is Actually Fun,14,2,3,Nida Nur Küçük,Jenica Domanico,Türkü Deniz Malkoç,MATCHED,STORY-story-darkness-is-actually-fun-darkness-is-actually-fun
legacy-content-story-bulutlu-hayaller,180,STORY,Bulutlu Hayaller,tr,tr:Duygusal Farkındalık ✨|tr:Etkinlik ve Eğlence 🥳|tr:Hayal Gücü ve Yaratıcılık 💫|tr:Sesli Kitaplar 🎧,Bulutlu Hayaller,13,3,3,Tuğçe Kaman Aslan,Büşra Lüleci Oldaç,Şevval Şahin,MATCHED,STORY-story-bulutlu-hayaller-bulutlu-hayaller
legacy-content-story-cloudy-dreams,181,STORY,Cloudy Dreams,en|pt|tr,en:Activities and Fun 🥳|en:Audio Books 🎧|en:Emotional Awareness ✨|en:Imagination and Creativity 💫|en:Mothers' Favorites ❤️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Cloudy Dreams,13,3,3,Tuğçe Kaman Aslan,Jenica Domanico,Şevval Şahin,MATCHED,STORY-story-cloudy-dreams-cloudy-dreams
legacy-content-story-gokkusag-kazaklar,182,STORY,Gökkuşağı Kazakları,tr,tr:Aile ve Arkadaşlık 🤗|tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Ebeveynlerin Favorileri ❤️|tr:Empati ve Hoşgörü 💞|tr:Sesli Kitaplar 🎧,Gökkuşağı Kazakları,14,3,3,Zeynep Çokran,Eren Coşan,Cansu Küçükal,MATCHED,STORY-story-gokkusag-kazaklar-gokkusag-kazaklar
legacy-content-story-rainbow-sweaters,183,STORY,Rainbow Sweaters,und,,Rainbow Sweaters,14,,,Zeynep Çokran,Christian Menza,,LIKELY,STORY-story-rainbow-sweaters-rainbow-sweaters
legacy-content-story-a-journey-with-a-hat,184,STORY,A Journey with a Hat,en|pt|tr,en:Audio Books 🎧|en:Family and Friendship 🤗|en:Imagination and Creativity 💫|en:Mothers' Favorites ❤️|en:Sleeping Stories 😴🌙🛏️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,A Journey with a Hat,18,5,3,Zeynep Çokran,Mariah Kerr,Cansu Küçükal,MATCHED,STORY-story-a-journey-with-a-hat-a-journey-with-a-hat
legacy-content-story-kokarca-koku,185,STORY,Kokarca Koku,tr,tr:Aile ve Arkadaşlık 🤗|tr:Duygusal Farkındalık ✨|tr:Ebeveynlerin Favorileri ❤️|tr:Empati ve Hoşgörü 💞|tr:Sesli Kitaplar 🎧|tr:Sevimli Dostlarımız🐕🐅🐎🐼|tr:Çocukların Favorileri 🙌,Kokarca Koku,17,6,5,Özgün TellPal Kütüphanesi,Eren Coşan,Türkü Deniz Malkoç,MATCHED,STORY-story-kokarca-koku-kokarca-koku
